0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000104e-03;0.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000021e-02;0.000000000000000000e+00;0.000000000000000000e+00
1.499999999999999944e-02;0.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000042e-02;0.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000139e-02;0.000000000000000000e+00;0.000000000000000000e+00
2.999999999999999889e-02;0.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000333e-02;0.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000083e-02;0.000000000000000000e+00;0.000000000000000000e+00
4.499999999999999833e-02;0.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000278e-02;2.435911111111110916e-02;8.170077503209877611e-04
5.500000000000000028e-02;4.713511111111110680e-02;4.420089449876543446e-04
5.999999999999999778e-02;5.113511111111111035e-02;6.162325894320988106e-04
6.500000000000000222e-02;5.672399999999998971e-02;2.723929795555555828e-04
7.000000000000000666e-02;6.154400000000000148e-02;2.739129528888889042e-04
7.499999999999999722e-02;6.640577777777778579e-02;4.235076999506172109e-04
8.000000000000000167e-02;7.178577777777778168e-02;2.002271755061728602e-04
8.500000000000000611e-02;7.623688888888889570e-02;1.674811280987654322e-04
8.999999999999999667e-02;8.174755555555555941e-02;2.540966273580246753e-04
9.500000000000000111e-02;8.662222222222222545e-02;2.692003950617283779e-04
1.000000000000000056e-01;9.030266666666665609e-02;1.950833262222222250e-04
